id,createdAt,questionnaire_age,questionnaire_gender,questionnaire_timestamp,questionnaire_tax_attitude,questionnaire_diet_frequency,questionnaire_discussion_frequency,experiment_timestamp,experiment_comment_text,experiment_experimentVersion,feedback_timestamp,feedback_technical_issues,feedback_interesting_observations
P_2025_04_22_VZJYD6,2025-04-22 09:58:26.05,22,female,2025-04-22T10:00:58.393Z,1,4,0,2025-04-22T10:10:02.123Z,"Ett höjt pris på kött hade ökat min motivation till att köpa mer vego. Förstår att alla inte håller med om artikelns innehåll, men förstår inte varför det måste bli så otrevlig ton i kommentarerna",experiment3.html,2025-04-22T10:11:02.151Z,,
P_2025_04_22_PB7THQ,2025-04-22 10:01:01.631,37,female,2025-04-22T10:01:01.630Z,2,2,3,2025-04-22T10:09:21.214Z,"Kan man verkligen likställa konsumering av kött och cigaretter? Det ena har viktiga aminosyror som vår kropp inte kan tillverka själva och därmed måste få genom kosten, medan tobak och nikotin inte bara är carcinogent för användaren (som kan förvänta sig en tidig död) utan även påverkar andra negativt? Dessutom skulle en köttskatt bara påverka de som redan har det skralt på bankkontot. Jag tror man får tänka om här…",experiment4.html,2025-04-22T10:11:45.857Z,,"Man ställdes en fråga hur man ställer sig till köttskatt, och jag valde neutral. Men om det funnits så hade jag kryssat i ”Jag vet för lite om ämnet för att ha en åsikt”."
P_2025_04_22_GGZ8RZ,2025-04-22 10:13:20.12,39,female,2025-04-22T10:13:20.119Z,2,3,1,2025-04-22T10:17:39.195Z,"Om kommentarerna i exemplet ovan är äkta så blir jag bekymrad, och det bäddar inte direkt för en resonlig och relevant diskussion. 

Vad gäller ämnet så anser jag inte att det är skatt på slutprodukten som är rätt väg att gå, att äta kvalitativt kött i rimlig mängd är inte farligt utan tvärtom bra. Däremot kan man argumentera för hur djurhållning och annat hanteras, och det är snarare där man bör lägga fokus och insatser. ",experiment2.html,2025-04-22T10:18:20.761Z,,
P_2025_04_22_9KZB7Q,2025-04-22 09:59:35.77,22,female,2025-04-22T09:59:35.768Z,0,2,0,2025-04-22T10:13:26.226Z,@deltagare25 🙌,experiment4.html,2025-04-22T10:14:38.181Z,,
P_2025_04_22_IGA5KK,2025-04-22 09:13:54.202,49,male,2025-04-22T09:15:53.859Z,2,3,0,2025-04-22T09:17:13.502Z,Punktskatt på kött kan vara ett bra styrmedel till mer hållbar föda ,experiment2.html,,,
P_2025_04_22_XSSGZN,2025-04-22 09:13:22.134,52,female,2025-04-22T09:13:20.939Z,1,3,0,2025-04-22T09:18:21.977Z,Jag tycker det är en svår fråga. Köttskatt innebär att det blir en klassfråga att äta kött. Sedan är det inte helt säkert att alla veganska alternativ faktiskt ÄR mer miljövänliga. Det finns tyvärr viss vegansk produktion som inte alls är bra för miljön. Tycker Peta blandar ihop äpplen o päron. ,experiment1.html,,,
P_2025_04_22_HVRX0O,2025-04-22 09:45:44.437,32,female,2025-04-22T09:45:43.144Z,3,0,1,2025-04-22T09:51:19.445Z,"@deltagare19, ja kött innehåller alla essentiella aminosyror och jag som är vegan anser att små barn ska äta kött minst en gång om dagen för att främja längdtillväxt och se till näringsbehovet.  Dock är köttkonsumtionen alldeles för hög idag bland vuxna och man behöver inte äta kött till varje måltid, det räcker med ex 3 ggr/vecka för att mätta ditt näringsbehov. ",experiment2.html,,,
P_2025_04_22_Q33MUR,2025-04-22 10:18:07.892,25,male,2025-04-22T10:18:07.891Z,2,4,0,2025-04-22T10:22:07.641Z,@deltagare25 eld! ,experiment1.html,2025-04-22T10:22:36.889Z,,
P_2025_04_22_6MSTPK,2025-04-22 10:15:31.135,46,female,2025-04-22T10:15:31.134Z,1,3,1,2025-04-22T10:19:07.592Z,Människor kämpar redan nu med ekonomin och att då låta det bli ännu mer av en klassfråga om vad man har råd att äta just nu känns väl så där. ,experiment1.html,,,
P_2025_04_22_ZNJ1LR,2025-04-22 10:51:05.838,39,female,2025-04-22T10:51:05.139Z,3,3,4,2025-04-22T10:54:45.726Z,Jag håller med om att det är en bra idé. Men det borde tydliggöras mer för allmänheten vad som ligger bakom. Ställ upp olika livsmedel och produkters hälsoeffekter och klimateffekter så folk får jämföra o förstå. ,experiment1.html,,,
P_2025_04_22_SCGR48,2025-04-22 11:14:04.856,20,female,2025-04-22T11:14:03.486Z,3,4,0,2025-04-22T11:19:27.766Z,Kan tycka att priset på kött kan höjas om de extra slantarna går till köttbönderna så förhållanden för djuren kan förbättras. Så länge livsmedelskedjorna då kan komma överens om att SÄNKAAAA resten av matpriserna,experiment3.html,2025-04-22T11:20:10.101Z,Nej,
P_2025_04_22_HBM7AD,2025-04-22 11:27:15.59,23,female,2025-04-22T11:27:14.407Z,2,3,0,2025-04-22T11:32:51.278Z,Det hade väl inte varit helt orimligt. Frågan är om folk kommer få i sig tillräckligt med näringsämnen om de slutar med kött från ingenstans. Potentiellt börja med att skaffa mer vegetariska alternativ och göra det attraktivare med vegetariskt. Uppenbarligen finns det väldigt många vegetarianer i Tyskland redan och de har inte skatt på kött än. ,experiment2.html,,,
P_2025_04_22_1SH4X0,2025-04-22 13:22:03.276,28,female,2025-04-22T13:22:02.050Z,4,0,0,2025-04-22T13:24:59.611Z,Jag tycker att artikeln lyfter en viktig fråga och att köttskatt borde införas. ,experiment4.html,,,
P_2025_04_22_09TZBK,2025-04-22 12:30:49.617,23,female,2025-04-22T12:30:48.309Z,2,3,0,2025-04-22T12:37:05.821Z,"Jag håller inte med om att man kan jämföra en köttskatt med snus, det är skadligare än kött för miljön.",experiment1.html,2025-04-22T12:37:32.866Z,,
P_2025_04_22_E2JR50,2025-04-22 15:06:07.672,52,female,2025-04-22T15:06:07.666Z,2,3,0,2025-04-22T15:10:29.485Z,Skatta gärna kött från vanliga köttindustri men låt bli att skatt kött från djur som levt som djur bör få leva.  ,experiment4.html,,,
P_2025_04_22_V6Q9XX,2025-04-22 12:38:49.299,27,female,2025-04-22T12:38:48.487Z,2,3,0,2025-04-22T12:49:29.755Z,Jag håller med en tidigare @deltagare25 som nämner ”köttskatt utifrån vart köttet köps” - te.x för gårdar/ företag som massproducerar kött av sämre kvalité. Men skatten borde isåfall inte gälla lokala gårdar med bättre djurhållning och kvalité på köttet. Detta för att stärka självförsörjningen. ,experiment4.html,2025-04-22T12:50:05.845Z,,
P_2025_04_22_TP5V6X,2025-04-22 12:50:26.817,40,female,2025-04-22T12:50:26.128Z,2,4,0,2025-04-22T12:56:56.456Z,Jag tror inte skatter löser problemet med en dåliga djurhållningen. Kanske skulle vara bättre med tätare kontroller på gårdarna utan förvarning för att komma åt just det problemet. ,experiment4.html,2025-04-22T12:58:30.189Z,,
P_2025_04_22_HFRFYT,2025-04-22 13:16:18.429,35,female,2025-04-22T13:28:26.689Z,2,0,0,2025-04-22T13:33:58.763Z,"Först och främst tycker jag att vi absolut bör minska andelen kött som importeras genom att ställa högre krav på djurrätt och miljö. Fokus på djurrätt, miljö och Sveriges bönder innan prat om skatt.",experiment1.html,2025-04-22T13:35:14.720Z,,
P_2025_04_22_PLYQMB,2025-04-22 14:51:20.22,26,female,2025-04-22T14:51:18.941Z,2,2,0,2025-04-22T15:05:17.329Z,"Jag håller med om att något borde göras för att förbättra djurens levnadsmiljö men är tveksam till om köttskatt är rätt väg, det hade likaväl kunnat leda till att man försöker producera köttet ännu billigare och det istället blir en sämre miljö för djuren. I övrigt tror jag att fler hade tagit till sig informationen i artikeln om studien som hänvisas till specificerades närmre så man som läsare enkelt kan läsa den själv. ",experiment1.html,2025-04-22T15:06:29.041Z,,
P_2025_04_22_TLQCA9,2025-04-22 13:56:12.395,45,female,2025-04-22T13:56:11.051Z,2,3,1,2025-04-22T14:04:25.132Z,vilka garantier finns att djuren kommer tas bättre omhand när köttet blir dyrare... ,experiment2.html,2025-04-22T14:04:53.654Z,,
